year,month,yrmo,airlineCode,AirlineName,AirportCode,AirportName,TotArrivFlight,TotOnTimeFlight,TotDelayArrFlight,airlineDelay,weatherDelay,nasDelay,securityDelay,lateAircraftDelay,TotArrFlightCancel,TotArrFlightDivert,TotMinArrDelay,AirlineDelayTime,WeatherDelayTime,nasDelayTime,SecurityDelayTime,LateAircraftDelayTime
2018,5,20185,9E,Endeavor Air ,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2507,2164,338,55.72,16.12,136.55,0,129.6,4,1,21647,7059,1510,4803,0,8275
2018,5,20185,9E,Endeavor Air ,BOS,"Boston, MA: Logan International",571,469,90,24.1,5.7,26.7,0,33.51,11,1,5315,1555,182,1195,0,2383
2018,5,20185,9E,Endeavor Air ,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",181,152,25,9.85,1,9.33,0,4.82,4,0,1447,541,27,438,0,441
2018,5,20185,9E,Endeavor Air ,CLT,"Charlotte, NC: Charlotte Douglas International",305,253,47,11.41,0.92,21.92,0,12.75,5,0,3290,709,144,1467,0,970
2018,5,20185,9E,Endeavor Air ,DCA,"Washington, DC: Ronald Reagan Washington National",163,127,30,9.51,0.87,10.09,0,9.52,5,1,3141,1546,40,518,0,1037
2018,5,20185,9E,Endeavor Air ,DEN,"Denver, CO: Denver International",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,5,20185,9E,Endeavor Air ,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",198,168,28,13.39,1,11.48,0,2.13,0,2,2058,985,125,784,0,164
2018,5,20185,9E,Endeavor Air ,DTW,"Detroit, MI: Detroit Metro Wayne County",1555,1356,193,39.31,11.66,47.17,0,94.87,6,0,17202,5158,1369,2764,0,7911
2018,5,20185,9E,Endeavor Air ,EWR,"Newark, NJ: Newark Liberty International",175,113,57,9.4,1,42.17,0,4.44,3,2,3166,692,51,2143,0,280
2018,5,20185,9E,Endeavor Air ,IAD,"Washington, DC: Washington Dulles International",87,67,18,5.28,2.05,4.65,0,6.02,2,0,1686,300,710,331,0,345
2018,5,20185,9E,Endeavor Air ,IAH,"Houston, TX: George Bush Intercontinental/Houston",106,90,16,2.99,1.68,9.58,0,1.76,0,0,735,130,166,313,0,126
2018,5,20185,9E,Endeavor Air ,JFK,"New York, NY: John F. Kennedy International",2157,1685,415,50.33,17.89,223.43,0,123.34,44,13,36255,6065,3076,17436,0,9678
2018,5,20185,9E,Endeavor Air ,LGA,"New York, NY: LaGuardia",2443,2007,387,70.08,16.08,190.35,0,110.5,42,7,33892,11081,2590,11819,0,8402
2018,5,20185,9E,Endeavor Air ,MSP,"Minneapolis, MN: Minneapolis-St Paul International",733,622,108,24.7,8.97,29.08,0.93,44.32,0,3,8361,2813,1172,1151,14,3211
2018,5,20185,9E,Endeavor Air ,ORD,"Chicago, IL: Chicago O'Hare International",284,188,92,17.25,4.13,50.94,0,19.68,4,0,8429,1429,328,5089,0,1583
2018,5,20185,9E,Endeavor Air ,PHL,"Philadelphia, PA: Philadelphia International",139,109,28,4.05,0,17.91,0,6.04,2,0,3613,866,0,2184,0,563
2018,5,20185,AA,American Airlines ,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1008,761,227,62.44,10.66,85.59,0.2,68.11,19,1,14605,3717,1090,3441,14,6343
2018,5,20185,AA,American Airlines ,BOS,"Boston, MA: Logan International",2479,1943,500,148.87,24.44,163.05,0.92,162.72,32,4,29284,8437,2353,7248,22,11224
2018,5,20185,AA,American Airlines ,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",479,339,127,45.02,4.25,38.89,0.1,38.75,10,3,7612,2573,288,2237,8,2506
2018,5,20185,AA,American Airlines ,CLT,"Charlotte, NC: Charlotte Douglas International",8470,7046,1320,351.99,54.11,409.23,2,502.67,80,24,81284,22117,5152,19569,53,34393
2018,5,20185,AA,American Airlines ,DCA,"Washington, DC: Ronald Reagan Washington National",2030,1562,415,110.86,13.6,146.01,0,144.52,44,9,29014,7625,1424,8427,0,11538
2018,5,20185,AA,American Airlines ,DEN,"Denver, CO: Denver International",933,709,210,81.84,6.17,62.13,1.18,58.67,13,1,12637,4774,496,2604,29,4734
2018,5,20185,AA,American Airlines ,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12065,10046,1843,466.49,99.53,390.4,3.87,882.71,160,16,163006,55014,9371,22386,129,76106
2018,5,20185,AA,American Airlines ,DTW,"Detroit, MI: Detroit Metro Wayne County",518,385,125,45.6,7.11,22.26,1.13,48.89,8,0,8891,3419,846,1015,64,3547
2018,5,20185,AA,American Airlines ,EWR,"Newark, NJ: Newark Liberty International",656,405,237,39.69,6.76,136.51,0.38,53.67,12,2,16363,3836,597,7636,21,4273
2018,5,20185,AA,American Airlines ,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",510,368,136,46.14,5.99,45.42,0,38.45,3,3,7415,2079,490,1620,0,3226
2018,5,20185,AA,American Airlines ,HNL,"Honolulu, HI: Daniel K Inouye International",256,213,43,16.73,1.74,18.64,0,5.88,0,0,2331,1140,104,497,0,590
2018,5,20185,AA,American Airlines ,IAD,"Washington, DC: Washington Dulles International",266,202,53,14.54,3.47,19.46,0,15.52,8,3,2911,854,295,925,0,837
2018,5,20185,AA,American Airlines ,IAH,"Houston, TX: George Bush Intercontinental/Houston",700,548,136,60.97,5.16,24.78,0,45.08,14,2,8931,3635,470,1684,0,3142
